evoAUL_nof6,
my-eventon-events-manager,
login-required-to-manage-your-submitted-events,
login-now,
hello,
from-your-event-manager-dashboard-you-can-view-your-submitted-events-and-manage-them-in-here,
back-to-my-events,
status,
date,
submitted-events,
you-do-not-have-submitted-events,
